hist_authorAccountId,COUNT(hist_id)
1000002,92
1000003,99
1000005,116
1000006,104
1000013,283
1000016,11
1000017,6
1000020,108
1000021,296
1000022,321
1000023,554
1000024,4
1000025,5
1000026,13
1000027,43
1000028,64
1000029,1
1000030,74
1000031,270
1000032,2
1000034,11
1000035,28
1000037,184
1000039,16
1000041,9
1000042,3
1000043,31
1000044,4
1000045,155
1000053,42
1000057,2
1000059,19
1000062,105
1000064,7
1000065,6
1000067,3
1000068,85
1000072,1
1000075,9
1000076,2
1000077,2
1000083,153
1000084,31
1000092,8
1000094,3
1000097,2
1000098,1
1000099,41
1000101,6
1000105,4
1000107,1
1000119,4
1000120,8
1000130,9
1000133,2
1000135,217
1000138,57
1000143,1
1000152,1
1000154,38
1000158,1
1000161,30
1000166,177
1000169,38
1000172,5
1000176,3
1000177,4
1000179,5
1000182,66
1000186,15
1000190,1
1000195,1
1000196,1
1000210,3
1000218,3
1000223,1
1000226,1
1000227,2
1000233,53
1000237,3
1000247,13
1000251,1
1000257,3
1000270,1
1000274,2
1000292,5
1000295,34
1000318,1
1000321,130
1000322,2
1000350,1
1000381,15
1000389,3
1000392,1
1000447,30
1000464,6
1000534,7
1000547,1
1000549,37
1000558,1
1000562,9
1000567,55
1000577,1
1000579,3
1000605,7
1000618,1
1000625,1
1000637,1
1000664,8
1000673,3
1000674,8
1000697,1
1000730,36
1000737,1
1000749,1
1000758,1
1000771,10
1000782,1
1000791,1
1000796,49
1000797,1
1000802,1
1000804,81
1000805,1
1000821,12
1000823,1
1000824,1
1000826,1
1000833,4
1000847,4
1000863,3
1000865,1
1000871,16
1000880,3
1000883,4
1000897,4
1000911,5
1000922,2
1000929,1
1000947,6
1000981,6
1000994,14
1000996,1
1001002,27
1001006,1
1001010,1
1001030,3
1001032,1
1001044,6
1001049,1
1001050,32
1001053,2
1001077,13
1001086,4
1001087,9
1001110,2
1001111,2
1001120,1
1001121,158
1001124,6
1001167,1
1001172,3
1001174,3
1001175,2
1001177,1
1001193,20
1001194,40
1001197,1
1001217,2
1001222,1
1001240,3
1001243,14
1001263,8
1001264,3
1001270,2
1001273,1
1001281,1
1001283,1
1001284,1
1001290,1
1001300,6
1001302,29
1001305,1
1001307,1
1001318,5
1001324,1
1001326,1
1001329,2
1001380,4
1001417,1
